id,field,iskconnect_value,official_value,action,change_reason,closure_type,confidence,source_url,evidence_snippet,official_last_updated,announcement_date,verified_at
17,link_status,broken,ok,update,automated_head_check,,partially_verified,https://deped.gov.ph,HEAD check passed on 2026-07-26,,,2026-07-26
20,link_status,broken,broken,confirm_unchanged,,,partially_verified,https://erc.gov.ph,HEAD check failed (http_403) on 2026-07-26,,,2026-07-26
55,link_status,ok,ok,confirm_unchanged,,,partially_verified,https://da.gov.ph,HEAD check passed on 2026-07-26,,,2026-07-26
