id,field,iskconnect_value,official_value,action,change_reason,closure_type,confidence,source_url,evidence_snippet,official_last_updated,announcement_date,verified_at
7,link_status,ok,ok,confirm_unchanged,,,partially_verified,https://gsis.gov.ph,HEAD check passed on 2026-07-26,,,2026-07-26
8,link_status,broken,broken,confirm_unchanged,,,partially_verified,https://sss.gov.ph,HEAD check failed (url_error:[Errno 11001] getaddrinfo failed) on 2026-07-26,,,2026-07-26
78,link_status,ok,ok,confirm_unchanged,,,partially_verified,https://www.gsis.gov.ph,HEAD check passed on 2026-07-26,,,2026-07-26
