id,verification_bundle,verification_priority,title,provider,provider_type,scholarship_type,primary_link,link_status,data_status,description,eligible_levels,eligible_regions,eligible_cities,residency_required,eligible_school_types,eligible_courses_psced,eligible_courses_specific,citizenship_required,max_income_threshold,min_gwa_normalized,min_age,max_age,priority_groups,members_only,benefit_tuition,benefit_allowance_monthly,benefit_books,benefit_miscellaneous,benefit_total_value,required_documents,has_qualifying_exam,has_interview,has_essay_requirement,has_return_service,application_open_date,application_deadline,academic_year_target,cycle_type,last_open_date,last_close_date,application_status,last_verified_at,verification_source,is_active
4,tesda,normal,TESDA Scholarship Program,Technical Education and Skills Development Authority,Government,Need,https://tesda.gov.ph,ok,,Technical-vocational education and training scholarships nationwide.,TVET,,,false,Public|Private,STEM|Agriculture|Engineering,,,500000,75.0,15,60,4Ps/Listahanan|Underprivileged,false,true,2000,true,,50000,BIRTH_CERT|GOOD_MORAL|FORM_137,false,true,false,false,2026-01-01,2026-12-31,2026-2027,annual,2025-01-01,2025-12-31,open,2026-07-08T14:45:16.659048,csv_import,true
77,tesda,high,Bagong Pilipinas Merit Scholarship Program (BPMSP) - TVET Track,Technical Education and Skills Development Authority,Government,Merit-based,https://bpms.ched.gov.ph/,broken,broken_link,TVET diploma track under the joint CHED-DepEd-TESDA Bagong Pilipinas Merit Scholarship Program. Targets priority diploma programs with minimum 90% GWA and combined household income up to 2000000 PHP. Includes mandatory return-of-service of one year in the Philippines for every year of funding.,TVET,,,false,Public|Private,,,,2000000,90.0,,,IP|PWD|Solo Parent Dependent|Underprivileged,false,true,,false,,,FORM_137|TOR|ITR|BIRTH_CERT|GOOD_MORAL,false,false,false,true,2026-04-30,2026-06-30,2026-2027,annual,,,previous_cycle,2026-06-30T13:53:06.333322,manual,true
