id,verification_bundle,verification_priority,title,provider,provider_type,scholarship_type,primary_link,link_status,data_status,description,eligible_levels,eligible_regions,eligible_cities,residency_required,eligible_school_types,eligible_courses_psced,eligible_courses_specific,citizenship_required,max_income_threshold,min_gwa_normalized,min_age,max_age,priority_groups,members_only,benefit_tuition,benefit_allowance_monthly,benefit_books,benefit_miscellaneous,benefit_total_value,required_documents,has_qualifying_exam,has_interview,has_essay_requirement,has_return_service,application_open_date,application_deadline,academic_year_target,cycle_type,last_open_date,last_close_date,application_status,last_verified_at,verification_source,is_active
2,dost,high,DOST-SEI Undergraduate Scholarship,Department of Science and Technology - SEI,Government,Merit-and-Need,https://ugs.science-scholarships.ph,broken,broken_link,"STEM scholarship for Science, Technology, Engineering, and Mathematics courses.",College,,,false,Public|Private,STEM|Engineering,BS Computer Science|BS Information Technology|BS Mathematics|BS Physics|BS Chemistry,,400000,92.0,17,22,Underprivileged,false,true,7000,true,,120000,ITR|BIRTH_CERT|GOOD_MORAL|TOR,true,true,true,true,2026-02-01,2026-04-15,2026-2027,annual,2025-02-01,2025-04-15,expected_reopen,2026-07-08T14:45:16.659048,csv_import,true
3,dost,high,DOST-SEI Graduate Scholarship,Department of Science and Technology - SEI,Government,Merit-and-Need,https://science-scholarships.ph,broken,broken_link,Graduate scholarship for master's and doctoral programs in STEM.,Graduate,,,false,Public|Private,STEM|Engineering,,,500000,88.0,22,45,,false,true,15000,true,,200000,ITR|BIRTH_CERT|TOR|ESSAY,true,true,true,true,2026-03-01,2026-05-31,2026-2027,semester,2025-09-01,2025-11-30,expected_reopen,2026-07-08T14:45:16.659048,csv_import,true
